,building_id,meter_type,ts,value,row_id
0,161,c,2022-01-01 00:00:00.000,0.0,1
1,162,c,2022-01-01 00:00:00.000,0.0,2
2,166,c,2022-01-01 00:00:00.000,209.886,4
3,167,c,2022-01-01 00:00:00.000,0.0,5
4,168,c,2022-01-01 00:00:00.000,51.557,6
5,169,c,2022-01-01 00:00:00.000,176.686,7
6,173,c,2022-01-01 00:00:00.000,19.3427,11
7,176,c,2022-01-01 00:00:00.000,0.0,14
8,177,c,2022-01-01 00:00:00.000,130.686,15
9,178,c,2022-01-01 00:00:00.000,5.8731,16
10,180,c,2022-01-01 00:00:00.000,20.3274,18
11,181,c,2022-01-01 00:00:00.000,12.5903,19
12,183,c,2022-01-01 00:00:00.000,13.0827,20
13,187,c,2022-01-01 00:00:00.000,0.6682,21
14,189,c,2022-01-01 00:00:00.000,0.0,23
15,190,c,2022-01-01 00:00:00.000,0.0,24
16,192,c,2022-01-01 00:00:00.000,251.701,26
17,197,c,2022-01-01 00:00:00.000,16.8809,29
18,198,c,2022-01-01 00:00:00.000,46.2466,30
19,200,c,2022-01-01 00:00:00.000,49.8689,31
20,203,c,2022-01-01 00:00:00.000,181.786,34
21,204,c,2022-01-01 00:00:00.000,42.0615,35
22,205,c,2022-01-01 00:00:00.000,85.8815,36
23,206,c,2022-01-01 00:00:00.000,169.02,37
24,207,c,2022-01-01 00:00:00.000,20.2571,38
25,209,c,2022-01-01 00:00:00.000,812.392,40
26,212,c,2022-01-01 00:00:00.000,155.093,42
27,213,c,2022-01-01 00:00:00.000,29.8229,43
28,214,c,2022-01-01 00:00:00.000,0.0,44
29,215,c,2022-01-01 00:00:00.000,5.3456,45
30,216,c,2022-01-01 00:00:00.000,17.9359,46
31,219,c,2022-01-01 00:00:00.000,277.128,48
32,220,c,2022-01-01 00:00:00.000,197.436,49
33,221,c,2022-01-01 00:00:00.000,296.259,50
34,222,c,2022-01-01 00:00:00.000,11.1132,51
35,224,c,2022-01-01 00:00:00.000,13.7861,52
36,225,c,2022-01-01 00:00:00.000,182.138,53
37,228,c,2022-01-01 00:00:00.000,0.0,55
38,229,c,2022-01-01 00:00:00.000,117.99,56
39,234,c,2022-01-01 00:00:00.000,68.8248,59
40,235,c,2022-01-01 00:00:00.000,7.0337,60
41,236,c,2022-01-01 00:00:00.000,7.5261,61
42,237,c,2022-01-01 00:00:00.000,10.3044,62
43,239,c,2022-01-01 00:00:00.000,15.861,64
44,240,c,2022-01-01 00:00:00.000,0.0,65
45,244,c,2022-01-01 00:00:00.000,9.7417,66
46,245,c,2022-01-01 00:00:00.000,0.0,67
47,246,c,2022-01-01 00:00:00.000,180.133,68
48,247,c,2022-01-01 00:00:00.000,180.344,69
49,249,c,2022-01-01 00:00:00.000,261.9,71
