,Unnamed: 0,site_id,timestamp,air_temperature,cloud_coverage,dew_temperature,sea_level_pressure,wind_direction,wind_speed
0,0,0,2022-01-01 22:00:00.000,26.7,,18.3,1016.9,230.0,3.1
1,1,0,2022-01-01 23:00:00.000,25.6,,18.3,1017.5,230.0,3.1
2,2,0,2022-01-02 00:00:00.000,24.4,6.0,18.9,1018.1,270.0,2.6
3,3,0,2022-01-02 01:00:00.000,23.9,4.0,18.3,1018.5,300.0,2.1
4,4,0,2022-01-02 02:00:00.000,22.2,,19.4,,360.0,5.7
5,5,0,2022-01-02 03:00:00.000,21.1,,18.9,1019.5,20.0,5.1
6,6,0,2022-01-02 04:00:00.000,20.6,,17.8,1019.4,30.0,4.6
7,7,0,2022-01-02 05:00:00.000,19.4,4.0,17.2,1019.3,20.0,2.6
8,8,0,2022-01-02 06:00:00.000,18.9,6.0,17.2,1019.0,10.0,2.1
9,9,0,2022-01-02 07:00:00.000,18.9,,17.2,1018.4,10.0,2.6
10,10,0,2022-01-02 08:00:00.000,18.9,,16.7,1018.5,360.0,3.6
11,11,0,2022-01-02 09:00:00.000,18.3,,16.7,1018.1,10.0,3.1
12,12,0,2022-01-02 10:00:00.000,18.9,,16.7,1018.1,10.0,5.1
13,13,0,2022-01-02 11:00:00.000,16.7,,13.9,1018.7,20.0,6.2
14,14,0,2022-01-02 12:00:00.000,15.6,8.0,13.3,1019.5,350.0,5.7
15,15,0,2022-01-02 13:00:00.000,15.0,,13.9,1020.0,360.0,4.1
16,16,0,2022-01-02 14:00:00.000,16.1,,13.3,1020.9,360.0,5.1
17,17,0,2022-01-02 15:00:00.000,17.2,,13.3,1021.5,360.0,3.6
18,18,0,2022-01-02 16:00:00.000,17.8,,13.3,1021.5,350.0,3.6
19,19,0,2022-01-02 17:00:00.000,19.4,,11.7,1020.4,360.0,3.6
20,20,0,2022-01-02 18:00:00.000,20.6,6.0,11.7,1018.7,10.0,3.1
21,21,0,2022-01-02 19:00:00.000,22.2,,12.8,1017.6,60.0,3.1
22,22,0,2022-01-02 20:00:00.000,22.8,,13.9,1016.8,20.0,3.1
23,23,0,2022-01-02 21:00:00.000,21.1,,13.9,1017.6,350.0,5.1
24,24,0,2022-01-02 22:00:00.000,20.0,,13.9,1017.9,10.0,4.1
25,25,0,2022-01-02 23:00:00.000,18.9,,13.9,1018.1,10.0,4.6
26,26,0,2022-01-03 00:00:00.000,17.8,8.0,13.9,1018.2,10.0,5.1
27,27,0,2022-01-03 01:00:00.000,16.7,,12.8,1018.6,20.0,6.7
28,28,0,2022-01-03 02:00:00.000,16.7,,12.8,1018.3,20.0,4.1
29,29,0,2022-01-03 03:00:00.000,16.1,,12.8,1018.0,350.0,4.1
30,30,0,2022-01-03 04:00:00.000,16.7,,12.8,1018.3,340.0,5.1
31,31,0,2022-01-03 05:00:00.000,15.6,,12.8,1019.0,330.0,5.1
32,32,0,2022-01-03 06:00:00.000,15.6,8.0,13.3,1018.4,330.0,8.2
33,33,0,2022-01-03 07:00:00.000,15.0,,12.2,1017.9,350.0,6.2
34,34,0,2022-01-03 08:00:00.000,15.0,,12.2,1017.0,350.0,6.7
35,35,0,2022-01-03 09:00:00.000,15.0,,12.2,1016.7,340.0,5.1
36,36,0,2022-01-03 10:00:00.000,14.4,,11.7,1017.0,340.0,4.6
37,37,0,2022-01-03 11:00:00.000,14.4,,12.2,1016.9,350.0,4.1
38,38,0,2022-01-03 12:00:00.000,14.4,8.0,12.2,1017.0,10.0,4.6
39,39,0,2022-01-03 13:00:00.000,14.4,,12.2,1017.9,350.0,6.7
40,40,0,2022-01-03 14:00:00.000,13.3,,11.7,1019.3,340.0,6.7
41,41,0,2022-01-03 15:00:00.000,13.3,,11.7,1019.1,360.0,5.1
42,42,0,2022-01-03 16:00:00.000,13.3,,12.2,1016.7,110.0,5.1
43,43,0,2022-01-03 17:00:00.000,13.3,,12.2,1016.9,350.0,4.6
44,44,0,2022-01-03 18:00:00.000,14.4,8.0,12.8,1016.6,320.0,4.1
45,45,0,2022-01-03 19:00:00.000,15.0,,12.8,1015.6,330.0,2.1
46,46,0,2022-01-03 20:00:00.000,14.4,,12.8,1015.7,310.0,3.1
47,47,0,2022-01-03 21:00:00.000,14.4,,13.3,1015.1,340.0,3.6
48,48,0,2022-01-03 22:00:00.000,13.9,,12.2,1015.0,350.0,5.1
49,49,0,2022-01-03 23:00:00.000,12.8,,11.7,1014.6,340.0,4.1
