,site_id,building_id,primary_use,square_feet,floor_count,row_id,year_built,latent_y,latent_s,latent_r
0,2,165,Warehouse,3877,1,166,1982,18,3.5884957,3
1,2,229,Education,140092,1,230,1999,1,5.1464133,3
2,1,121,Education,150318,9,122,1913,87,4.2227683,2
3,8,871,Entertainment,1536,1,872,1974,26,3.186391,4
4,9,939,Residential,8051,1,940,1980,20,3.90585,4
5,5,675,Industrial,3853,1,676,1983,17,3.585799,4
6,3,311,Education,50000,1,312,1935,65,4.69897,3
7,8,870,Entertainment,755,1,871,1993,7,2.8779469,4
8,2,254,Entertainment,254766,1,255,1996,4,5.4061413,3
9,15,1422,Residential,19876,1,1423,1939,61,4.298329,4
10,6,747,Education,30531,1,748,1994,6,4.484741,4
11,0,59,Entertainment,81337,1,60,2012,12,4.9102883,2
12,3,430,Community,23918,1,431,1986,14,4.378725,3
13,9,979,Entertainment,52357,1,980,2009,9,4.7189746,4
14,2,157,Office,5258,1,158,1967,33,3.7208207,3
15,13,1181,Education,60606,1,1182,2004,4,4.7825155,4
16,4,597,Community,189425,4,598,2001,1,4.675375,3
17,13,1176,Education,142672,1,1177,1989,11,5.154339,4
18,9,927,Residential,745671,1,928,1979,21,5.872547,4
19,15,1396,Residential,96336,1,1397,1920,80,4.9837885,4
20,3,424,Community,32527,1,425,1972,28,4.512244,3
21,2,223,Education,261188,1,224,2022,22,5.416953,3
22,13,1183,Entertainment,166856,1,1184,1973,27,5.222342,4
23,13,1220,Community,381221,1,1221,1978,22,5.5811768,4
24,2,158,Office,10135,1,159,1995,5,4.0058236,3
25,9,908,Education,91254,1,909,2016,16,4.960252,4
26,1,129,Residential,102957,7,130,1975,25,4.1675534,2
27,14,1306,Residential,54172,1,1307,1994,6,4.7337747,4
28,4,615,Education,153700,7,616,1997,3,4.341573,3
29,2,247,Education,64560,1,248,1972,28,4.8099637,3
30,2,272,Education,4583,1,273,2011,11,3.6611497,3
31,3,295,Education,83400,1,296,1949,51,4.921166,3
32,0,21,Office,7043,1,22,1997,3,3.8477576,1
33,8,833,Community,6392,1,834,1985,15,3.805637,4
34,4,620,Education,220703,9,621,2018,18,4.389556,3
35,10,1003,Education,94751,3,1004,1993,7,4.4994535,4
36,14,1295,Office,115676,1,1296,2021,21,5.0632434,4
37,14,1291,Office,237546,1,1292,2017,17,5.3757477,4
38,4,601,Entertainment,11910,2,602,1910,90,3.7748818,3
39,5,691,Office,42647,1,692,1983,17,4.6298885,4
40,6,769,Education,77263,1,770,1995,5,4.8879714,4
41,4,572,Education,94175,9,573,1971,29,4.019656,3
42,5,714,Education,8730,1,715,1983,17,3.9410143,4
43,4,584,Education,137806,8,585,1974,26,4.2361593,3
44,3,379,Entertainment,7675,1,380,2012,12,3.8850784,3
45,3,396,Community,16768,1,397,1987,13,4.224481,3
46,15,1448,Office,92271,1,1449,2008,8,4.965065,4
47,13,1102,Office,87187,1,1103,2021,21,4.9404516,4
48,6,770,Education,80325,1,771,1979,21,4.904851,4
49,0,95,Residential,200933,1,96,2013,13,5.3030515,2
